fid,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,ZIP
"202","75231","75231",B5,G6350,S,"14597082","69158","+32.8734848","-096.7475389",75231
"203","75232","75232",B5,G6350,S,"21403886","9339","+32.6608617","-096.8409480",75232
"204","75233","75233",B5,G6350,S,"8965854","7492","+32.7039127","-096.8718891",75233
"205","75423","75423",B5,G6350,S,"210214811","941599","+33.2843899","-096.2003883",75423
"206","75424","75424",B5,G6350,S,"173168842","1212248","+33.3217146","-096.3785072",75424
"207","75234","75234",B5,G6350,S,"26773504","714638","+32.9231893","-096.8917215",75234
"208","75235","75235",B5,G6350,S,"17404711","515313","+32.8326141","-096.8490821",75235
"209","75236","75236",B5,G6350,S,"32341678","1124873","+32.6763974","-096.9367979",75236
"210","75237","75237",B5,G6350,S,"17223863","0","+32.6656174","-096.8730558",75237
"211","75238","75238",B5,G6350,S,"17033719","0","+32.8784974","-096.7078190",75238
"212","75240","75240",B5,G6350,S,"9769417","21713","+32.9303379","-096.7874957",75240
"213","75241","75241",B5,G6350,S,"69588547","420773","+32.6654466","-096.7594508",75241
"214","75243","75243",B5,G6350,S,"22531929","27362","+32.9126331","-096.7366369",75243
"215","75442","75442",B5,G6350,S,"273112452","20065573","+33.1742189","-096.3560037",75442
"216","75201","75201",B5,G6350,S,"3749168","0","+32.7877583","-096.7994246",75201
"217","75202","75202",B5,G6350,S,"1821693","0","+32.7792528","-096.8047684",75202
"218","75244","75244",B5,G6350,S,"11941830","6490","+32.9253667","-096.8363344",75244
"219","75246","75246",B5,G6350,S,"1169822","2154","+32.7924965","-096.7727628",75246
"220","75247","75247",B5,G6350,S,"16933592","94796","+32.8137349","-096.8836665",75247
"221","75248","75248",B5,G6350,S,"19186300","80985","+32.9696993","-096.7973343",75248
"222","75249","75249",B5,G6350,S,"11907025","42249","+32.6360687","-096.9645996",75249
"223","75251","75251",B5,G6350,S,"1137917","11257","+32.9197891","-096.7709476",75251
"224","76135","76135",B5,G6350,S,"67276674","18683497","+32.8363245","-097.4699075",76135
"225","76137","76137",B5,G6350,S,"35055038","220156","+32.8596850","-097.2915230",76137
"226","76140","76140",B5,G6350,S,"72169297","358214","+32.6199267","-097.2780662",76140
"227","75452","75452",B5,G6350,S,"197167581","1771809","+33.4022255","-096.2385699",75452
"228","75454","75454",B5,G6350,S,"49669135","440282","+33.2856449","-096.5648181",75454
"229","75203","75203",B5,G6350,S,"12249828","63845","+32.7468232","-096.8026810",75203
"230","75204","75204",B5,G6350,S,"6624450","0","+32.8021266","-096.7888529",75204
"231","75205","75205",B5,G6350,S,"11269464","6592","+32.8358931","-096.7955138",75205
"232","75206","75206",B5,G6350,S,"11013363","42978","+32.8312792","-096.7711909",75206
"233","75207","75207",B5,G6350,S,"9965255","106435","+32.7867960","-096.8199708",75207
"234","76148","76148",B5,G6350,S,"12076588","2743","+32.8684212","-097.2521325",76148
"235","76155","76155",B5,G6350,S,"8973678","0","+32.8239927","-097.0486875",76155
"236","76164","76164",B5,G6350,S,"10195434","49850","+32.7811003","-097.3545850",76164
"237","76177","76177",B5,G6350,S,"37429090","239371","+32.9753611","-097.3104858",76177
