GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
48085032003,"Census Tract 320.03, Collin County, Texas",5652,43210,0.3838,1388,1360,725,2012,0.240622788393489,0.522334293948127,Tract
48085032004,"Census Tract 320.04, Collin County, Texas",8199,48049,0.3792,2435,1408,699,2012,0.171728259543847,0.287063655030801,Tract
48085032008,"Census Tract 320.08, Collin County, Texas",3799,73125,0.3602,664,418,106,2012,0.110028954988155,0.159638554216867,Tract
48085032009,"Census Tract 320.09, Collin County, Texas",6904,124615,0.3691,1683,279,46,2012,0.0404113557358053,0.0273321449792038,Tract
48085032010,"Census Tract 320.10, Collin County, Texas",4088,59861,0.3947,1127,263,54,2012,0.064334637964775,0.0479148181011535,Tract
48085032011,"Census Tract 320.11, Collin County, Texas",5661,92576,0.3956,1510,51,0,2012,0.00900900900900901,0,Tract
48085032012,"Census Tract 320.12, Collin County, Texas",4334,49225,0.323,1260,652,297,2012,0.150438394093216,0.235714285714286,Tract
48085032013,"Census Tract 320.13, Collin County, Texas",6762,53990,0.401,2320,1423,733,2012,0.210440698018338,0.315948275862069,Tract
48087950300,"Census Tract 9503, Collingsworth County, Texas",3050,41940,0.4761,849,726,335,2012,0.238032786885246,0.394581861012956,Tract
48113000100,"Census Tract 1, Dallas County, Texas",4068,84674,0.5698,879,281,79,2012,0.0690757128810226,0.0898748577929465,Tract
48113000201,"Census Tract 2.01, Dallas County, Texas",2910,73839,0.5375,654,169,42,2012,0.0580756013745704,0.0642201834862385,Tract
48113000202,"Census Tract 2.02, Dallas County, Texas",3523,93396,0.4261,536,153,15,2012,0.0434288958274198,0.0279850746268657,Tract
48113000300,"Census Tract 3, Dallas County, Texas",4305,87893,0.4661,437,354,0,2012,0.0822299651567944,0,Tract
48113000401,"Census Tract 4.01, Dallas County, Texas",4838,39381,0.4191,1256,1850,517,2012,0.38238941711451,0.411624203821656,Tract
48113000404,"Census Tract 4.04, Dallas County, Texas",3924,46161,0.3784,784,507,192,2012,0.129204892966361,0.244897959183673,Tract
48113000405,"Census Tract 4.05, Dallas County, Texas",2465,25473,0.4987,563,975,390,2012,0.39553752535497,0.692717584369449,Tract
48113000406,"Census Tract 4.06, Dallas County, Texas",7679,38419,0.4347,2576,2472,1113,2012,0.321916916265139,0.432065217391304,Tract
48113000500,"Census Tract 5, Dallas County, Texas",4367,53438,0.4944,470,733,304,2012,0.167849782459354,0.646808510638298,Tract
48113000601,"Census Tract 6.01, Dallas County, Texas",6587,44764,0.4379,1505,2246,1142,2012,0.340974647032033,0.758803986710964,Tract
48113000603,"Census Tract 6.03, Dallas County, Texas",3846,73125,0.4721,204,298,0,2012,0.077483099323973,0,Tract
48113000605,"Census Tract 6.05, Dallas County, Texas",2084,71944,0.5102,38,168,0,2012,0.0806142034548944,0,Tract
48113000606,"Census Tract 6.06, Dallas County, Texas",3107,86821,0.5123,219,193,33,2012,0.0621177985194722,0.150684931506849,Tract
48113000701,"Census Tract 7.01, Dallas County, Texas",4119,90403,0.4975,225,484,96,2012,0.11750424860403,0.426666666666667,Tract
