GEOID,NAME,TYPE,tot_popE_19,pop_3t4E_19,med_incE_19,giniE_19,less_hsE_19,hs_degE_19,ba_degE_19,his_popE_19,wh_popE_19,bl_popE_19,as_popE_19,rohhE_19,thhE_19,es_3t4E_19,empE_19,emp_pubtrE_19,pop_bpE_19,bp_u18E_19,pop_o25E_19,pop_u18E_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_ba_deg,per_wh,per_bl,per_as,per_his,per_emp_r,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
76010,ZCTA5 76010,ZIP,60097,2184,39073,0.4408,11580,8231,3252,36985,10129,9110,2241,11638,17734,333,25656,99,17070,7361,31791,19135,9171,0.168544186897848,0.15158826563722,0.0372897149608134,0.615421734861973,0.73925,0.262566786609966,0.152472527472527,0.00385874649204864,0.284040800705526,0.38468774496995,0.656253524303598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76011,ZCTA5 76011,ZIP,22622,496,40102,0.4401,2682,3170,2888,8893,6033,6514,548,7820,9702,104,12333,40,5958,2346,14914,5175,2533,0.266687295553002,0.287949783396694,0.0242242065246221,0.393112898947927,0.81375,0.271614686142914,0.209677419354839,0.00324333090083516,0.263371938820617,0.453333333333333,0.806019377447949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76012,ZCTA5 76012,ZIP,25719,424,65022,0.4733,1019,2610,4952,4877,15804,3506,851,3956,10295,67,12824,29,3398,1107,18024,5362,2333,0.614487343986936,0.136319452544811,0.0330883782417668,0.18962634628096,0.823,0.456065152164595,0.158018867924528,0.0022613849033063,0.13212022240367,0.206452816113391,0.384264205925206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76013,ZCTA5 76013,ZIP,34203,664,55166,0.4668,1068,3654,6894,5276,21142,4693,1971,6285,12877,100,16603,72,5585,1494,22347,7268,4588,0.618132912317633,0.137210186240973,0.0576265239891238,0.154255474665965,0.79725,0.198779424585876,0.150602409638554,0.00433656568090104,0.163289769903225,0.205558613098514,0.488079521627708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76014,ZCTA5 76014,ZIP,35096,846,52588,0.3498,4261,5785,3002,14361,6795,9396,3859,5449,10977,40,16467,50,5929,2710,21720,9781,3595,0.193611807613403,0.26772281741509,0.109955550490084,0.409191930704354,0.7805,0.429485396383866,0.0472813238770686,0.00303637578186676,0.168936630955095,0.277067784480114,0.496401566912636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76015,ZCTA5 76015,ZIP,16961,472,57274,0.4128,1135,2044,2631,4400,7859,2937,912,3485,6482,98,8632,0,2274,758,11257,3744,1960,0.463357113377749,0.173161959790107,0.0537704144802783,0.25941866635222,0.8,0.38265306122449,0.207627118644068,0,0.134072283473852,0.202457264957265,0.537642702869485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76016,ZCTA5 76016,ZIP,32026,362,82490,0.4136,796,3403,7082,4222,21449,3233,2260,2292,11278,38,15710,16,2241,618,22514,6807,2705,0.6697370886155,0.100949228751639,0.0705676637731843,0.131830387809904,0.8145,0.366728280961183,0.104972375690608,0.00101845957988542,0.0699743958034097,0.0907888937858087,0.203227522610392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76017,ZCTA5 76017,ZIP,47499,1213,75525,0.3924,1828,5290,9093,8082,25587,9403,2722,5433,17029,115,25768,136,4008,1377,31876,11061,4562,0.538685024947894,0.197962062359208,0.0573064696098865,0.170150950546327,0.83375,0.557211749232793,0.0948062654575433,0.00527786401738591,0.0843807238047117,0.124491456468674,0.319043983792354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76018,ZCTA5 76018,ZIP,31200,683,67962,0.3212,2262,4446,4227,9906,6884,8275,4762,2726,9200,43,16924,13,2677,1198,19258,8428,3514,0.220641025641026,0.265224358974359,0.152628205128205,0.3175,0.84675,0.240182128628344,0.0629575402635432,0.000768139919640747,0.0858012820512821,0.142145230185097,0.296304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76020,ZCTA5 76020,ZIP,29131,788,67674,0.4351,1628,5646,3184,2866,25328,91,104,2373,10335,131,13221,17,2757,720,20601,6444,2086,0.869451786756376,0.00312381998558237,0.00357007998352271,0.09838316569977,0.76425,0.580057526366251,0.166243654822335,0.00128583314424022,0.094641447255501,0.111731843575419,0.229608127721335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76021,ZCTA5 76021,ZIP,35794,1082,74148,0.3805,881,3444,8314,4388,23577,4041,2014,6782,14929,141,19087,94,1949,468,25557,7389,2848,0.658685813264793,0.112896016092082,0.0562664133653685,0.122590378275689,0.84975,0.405196629213483,0.130314232902033,0.0049248179389113,0.0544504665586411,0.0633373934226553,0.454283609082993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
